[OVERALL], RunTime(ms), 47525
[OVERALL], Throughput(ops/sec), 210.41557075223565
[TOTAL_GCS_PS_Scavenge], Count, 47
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 339
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.713308784850079
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 47
[TOTAL_GC_TIME], Time(ms), 339
[TOTAL_GC_TIME_%], Time(%), 0.713308784850079
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 3.0
[CLEANUP], LatencyVariance(us), 0.0
[CLEANUP], MinLatency(us), 3
[CLEANUP], MaxLatency(us), 3
[CLEANUP], 95thPercentileLatency(us), 0
[CLEANUP], 99thPercentileLatency(us), 0
[INSERT], Operations, 10000
[INSERT], AverageLatency(us), 4643.9438
[INSERT], LatencyVariance(us), 2.684709961584156E7
[INSERT], MinLatency(us), 1197
[INSERT], MaxLatency(us), 221041
[INSERT], 95thPercentileLatency(us), 14000
[INSERT], 99thPercentileLatency(us), 23000
[INSERT], Return=OK, 10000
